5852.27	8.47333	4635.94	4.57667
9970.76	10.7267	20358.5	6.32
8392.26	11.3633	14600.8	6.85
14798.4	12.1833	7560.74	6.96
16630.3	13.1733	25613.1	7.35333
10578.4	13.6733	28569.6	7.52667
21457.6	14.59	39580.5	7.67333
17054.9	15.0093	25224.6	7.84667
24203.3	15.8524	11306.7	8.35
21410.5	15.95	37406.5	8.79667
21909.8	19.8567	27151.6	10.3267
29440.1	20.5043	35072.2	10.5067
34676.8	20.6367	35306.2	10.5517
42723.9	21.4323	61137.1	10.8433
33193.2	22.87	35682.3	10.9517
37795	23.1536	46815.3	11.2733
28848.6	23.58	59467.6	11.3467
44496.4	23.6366	55016.8	11.4833
45882	24.075	19187.5	11.55
42572.8	25.3267	48892.3	12.0633
50946.5	25.57	64045.6	12.4333
53700.5	26.1883	71836.4	13.2867
49957.6	26.42	55409.1	13.5167
54184	26.7533	45152.3	13.7867
54327.5	29.1367	67979.2	13.9567
62146.7	29.2264	85600	15.0433
60530.1	29.6167	80493.8	16.0633
58599.7	29.7666	93681	16.2172
63766.4	30.6033	91350.9	16.44
67326.3	31.26	88072.9	16.6172
65623.2	31.5172	84246.1	16.94
66929.5	31.78	103207	18.3133
76405.4	34.0545	126349	18.58
72337.4	34.8633	126481	19.9533
