0.0152	0.0195
0.0303	0.0547
0.0455	0.0804
0.0606	0.1150
0.0758	0.3317
0.0909	0.4259
0.1061	0.5361
0.1212	0.5431
0.1364	0.5966
0.1515	0.6039
0.1667	0.6211
0.1818	0.6885
0.1970	0.7162
0.2121	0.7275
0.2273	0.8308
0.2424	1.0793
0.2576	1.1360
0.2727	1.1389
0.2879	1.2010
0.3030	1.2067
0.3182	1.2342
0.3333	1.2757
0.3485	1.3104
0.3636	1.3896
0.3788	1.3924
0.3939	1.4329
0.4091	1.4614
0.4242	1.4834
0.4394	1.4864
0.4545	1.4869
0.4697	1.4926
0.4848	1.5127
0.5000	1.5256
0.5152	1.5289
0.5303	1.5341
0.5455	1.5371
0.5606	1.6108
0.5758	1.6467
0.5909	1.6699
0.6061	1.7157
0.6212	1.7212
0.6364	1.7369
0.6515	1.7387
0.6667	1.7458
0.6818	1.7583
0.6970	1.7730
0.7121	1.8183
0.7273	1.8380
0.7424	1.8860
0.7576	1.9807
0.7727	2.4132
0.7879	2.5638
0.8030	2.6120
0.8182	2.6374
0.8333	2.6430
0.8485	2.6484
0.8636	2.7060
0.8788	2.7075
0.8939	2.7137
0.9091	2.7717
0.9242	2.7821
0.9394	2.8163
0.9545	2.8203
0.9697	2.8256
0.9848	2.8740
1.0000	2.9875
