0.0152	0.4311
0.0303	0.4494
0.0455	0.4651
0.0606	0.4709
0.0758	0.5175
0.0909	0.6497
0.1061	0.6777
0.1212	0.7648
0.1364	0.7993
0.1515	0.8324
0.1667	0.8553
0.1818	0.8638
0.1970	0.8660
0.2121	0.9214
0.2273	0.9258
0.2424	0.9576
0.2576	0.9771
0.2727	0.9847
0.2879	1.0054
0.3030	1.0081
0.3182	1.0207
0.3333	1.0352
0.3485	1.0510
0.3636	1.0523
0.3788	1.0742
0.3939	1.0837
0.4091	1.0961
0.4242	1.1282
0.4394	1.1395
0.4545	1.1445
0.4697	1.1455
0.4848	1.1462
0.5000	1.1562
0.5152	1.1750
0.5303	1.1756
0.5455	1.1780
0.5606	1.2518
0.5758	1.2596
0.5909	1.2809
0.6061	1.2893
0.6212	1.3124
0.6364	1.3133
0.6515	1.4026
0.6667	1.4095
0.6818	1.4261
0.6970	1.4292
0.7121	1.4394
0.7273	1.4723
0.7424	1.5290
0.7576	1.5642
0.7727	1.6361
0.7879	1.9539
0.8030	2.0291
0.8182	2.1063
0.8333	2.1277
0.8485	2.1863
0.8636	2.2269
0.8788	2.3307
0.8939	2.3354
0.9091	2.3393
0.9242	2.3407
0.9394	2.3839
0.9545	2.3966
0.9697	2.3997
0.9848	2.4381
1.0000	2.6226
