0.0152	0.0339
0.0303	0.0432
0.0455	0.0553
0.0606	0.1284
0.0758	0.1342
0.0909	0.1522
0.1061	0.1554
0.1212	0.1836
0.1364	0.1848
0.1515	0.2121
0.1667	0.2368
0.1818	0.2684
0.1970	0.2898
0.2121	0.2916
0.2273	0.2963
0.2424	0.3426
0.2576	0.4018
0.2727	0.4425
0.2879	0.4708
0.3030	0.5245
0.3182	0.5474
0.3333	0.5513
0.3485	0.5603
0.3636	0.5732
0.3788	0.6397
0.3939	0.6404
0.4091	0.6407
0.4242	0.6583
0.4394	0.7750
0.4545	0.7939
0.4697	0.9106
0.4848	0.9249
0.5000	0.9541
0.5152	1.1134
0.5303	1.2465
0.5455	1.3130
0.5606	1.4198
0.5758	1.4580
0.5909	1.4712
0.6061	1.5141
0.6212	1.5922
0.6364	1.6271
0.6515	1.6915
0.6667	1.8008
0.6818	1.8234
0.6970	1.8249
0.7121	1.9282
0.7273	1.9336
0.7424	1.9372
0.7576	2.1561
0.7727	3.3552
0.7879	3.5006
0.8030	3.5717
0.8182	3.6348
0.8333	3.6599
0.8485	3.7620
0.8636	3.7622
0.8788	3.7875
0.8939	3.8424
0.9091	3.8424
0.9242	3.8700
0.9394	3.8784
0.9545	3.9449
0.9697	4.1726
0.9848	4.2950
1.0000	4.4416
